"R0_seir","R0-sir","var_seir","var_sir"
2,2.01136205451331,5.58308821636399e-10,5.96801263363363e-10
2,2.01128680941747,5.58171480276442e-10,5.96404351053303e-10
2,2.01122170939864,5.58035734229529e-10,5.96029617832038e-10
2,2.01116379985538,5.57901555844096e-10,5.95666005653031e-10
2,2.01109085123239,5.57768918102311e-10,5.9528485630226e-10
2,2.01103285691515,5.57637794606767e-10,5.94933155085986e-10
2,2.01097578646639,5.57508159557467e-10,5.9458437944278e-10
2,2.01091513598868,5.57379987738462e-10,5.94232169305366e-10
2,2.01085062707345,5.5725325450007e-10,5.93875173934009e-10
2,2.01078183149155,5.57127935744861e-10,5.93515787215114e-10
2,2.01072064735205,5.57004007908859e-10,5.9317012140406e-10
2,2.01065931759395,5.56881447950589e-10,5.92828475514703e-10
2,2.01060612172252,5.56760233333704e-10,5.92502613464168e-10
2,2.01054142934354,5.56640342015719e-10,5.92158319250977e-10
2,2.01049600441188,5.56521752431357e-10,5.91855739166421e-10
2,2.01043357338285,5.56404443483472e-10,5.91522337634765e-10
